loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
86,168,659.9677966,62.74208867,9224,76719.81395,9224,240.1109272,319.5182113,18421265.66,0.000303052,284.278791,552,69,42,511,17,302,693,8531,19,TRUE
323,3986,31926.4714,53.76224372,146456,1584329.245,146456,651.6001119,2431.444096,1032349113,0.000214907,15931.31348,460,21,30,433,17,1788,9390,137066,958,TRUE
394,763,2985.59554,326.2473944,24189,241992.0889,24189,178.6683168,1354.420824,43236319.2,0.000169685,667.2271482,1166,109,171,1037,17,1010,2959,21230,10,FALSE
238,398,1307.829168,233.5078856,13746,130419.8491,13746,153.4243937,850.0594067,20009586.28,0.000188377,308.7899117,1099,51,201,934,17,701,1093,12653,12,TRUE
173,321,1219.656952,144.4313318,6282,57087.44157,6282,87.72580645,650.7485525,5008041.85,0.000170916,77.28459645,751,35,98,672,17,527,843,5439,8,FALSE
582,1238,9131.611889,44.40407464,74592,805479.6086,74592,336.3089569,2395.058449,270890007,0.000173255,4180.401342,2865,267,391,2483,17,1764,4798,69794,122,TRUE
758,1482,10893.65986,61.50531725,73689,706582.7928,73689,734.0816733,962.5397534,518689478.9,0.000304547,8004.467266,2781,79,143,2651,17,753,8658,65031,36,FALSE
2450,3926,15852.52173,1611.887227,150730,1562020.963,150730,943.5980769,1655.388032,1473919977,0.000276381,22745.67866,8437,91,1696,6986,17,1300,6415,144315,33,FALSE
6348,17417,192251.9859,93.42767377,972708,12218929.57,972708,1319.652845,9259.19996,16124745160,0.000174117,248838.6599,23553,288,2340,21218,17,6029,36686,936022,1996,TRUE
77,116,299.3723969,93.70216303,1080,8445.793279,1080,36.07416268,234.1230579,304674.9207,0.000178702,4.701773468,341,6,60,281,17,209,193,887,2,FALSE
43,68,230.6863616,38.68785044,778,5924.244259,778,31.86312849,185.9278903,188764.956,0.000185151,2.913039445,206,5,28,183,17,179,107,671,2,TRUE
1347,2341,10529.94586,834.6362198,111179,1211863.559,111179,471.5166315,2570.139584,571413823.2,0.000189405,8818.114555,4942,558,795,4283,17,1894,6114,105065,83,TRUE
270,560,3162.364064,105.528461,32884,331189.9683,32884,239.8862134,1380.612765,79447907.42,0.000186004,1226.047954,1537,170,182,1370,17,1059,2997,29887,22,TRUE
411,669,2262.965755,384.7120061,14033,132570.9189,14033,157.1688693,843.4934952,20836021.43,0.000190388,321.5435406,1632,27,296,1393,17,681,1441,12592,6,TRUE
1713,3220,15751.59244,1085.862233,221479,2250477.328,221479,1607.652926,1399.852725,3617986461,0.000349072,55833.12439,5902,66,612,5418,17,1128,8134,213345,292,FALSE
120,241,964.8141628,91.44135847,3197,26458.76972,3197,80.21331058,329.8551018,2122345.513,0.000208059,32.75224558,371,35,49,325,17,293,432,2765,8,TRUE
914,1731,7093.543697,635.9536446,29643,288213.1836,29643,281.3725845,1024.311534,81095288.38,0.000216685,1251.4705,2496,72,417,2164,17,828,2234,27409,15,TRUE
1382,2268,9161.060667,940.7562632,84893,874330.6663,84893,552.4794851,1582.557706,483049756.3,0.00023471,7454.471548,4805,161,816,4141,17,1243,4101,80792,47,TRUE
286,433,1918.450543,131.5808514,18068,158779.8234,18068,340.2,466.7249366,54016895.94,0.000299988,833.5940731,1192,8,213,999,17,425,1058,17010,35,TRUE
73,151,579.093721,64.09149029,1801,14517.31337,1801,53.346,272.1349937,774440.5992,0.000193635,11.95124381,340,5,78,263,17,250,232,1569,2,TRUE
131,232,833.3572212,119.063934,4866,42682.06776,4866,89.91785714,474.6784356,3837880.071,0.000191438,59.22654431,447,34,65,386,17,420,423,4443,20,FALSE
155,304,1203.395607,125.5121311,4280,38663.05045,4280,59.39940828,650.8995891,2296562.319,0.000150073,35.44077653,493,36,72,436,17,507,737,3543,5,TRUE
452,833,4463.000508,187.6571792,20296,198622.1284,20296,181.5525404,1094.0201,36060351.99,0.000183177,556.4869134,1830,96,215,1639,17,866,1799,18497,44,TRUE
66,91,398.7904388,33.26298372,2106,16442.28947,2106,78.5942029,209.2048632,1292268.634,0.00024052,19.9424172,354,5,68,299,17,207,192,1914,3,FALSE
330,640,4324.453647,63.71009433,21551,207717.9324,21551,218.5698718,950.3502504,45400881.85,0.000204228,700.6308928,1731,162,218,1524,17,780,1494,20057,53,TRUE
873,1736,7451.723605,544.169912,46870,483999.7501,46870,295.1183899,1640.018944,142837226.9,0.000188189,2204.278194,3282,450,654,2693,17,1267,2880,43990,21,TRUE
66146,144951,1994902.848,3065.699235,8398507,119091371.3,8398507,3641.899137,32700.3486,4.34E+11,0.000160375,6693190.78,226641,2906,28325,197954,17,18545,452740,7945767,12006,TRUE
161,288,1130.843996,126.560196,4719,42693.37774,4719,66.65527344,640.5101283,2845738.767,0.000156789,43.91572172,500,37,96,423,17,512,704,4015,2,FALSE
210,402,1565.23034,172.2963306,6964,63173.66389,6964,98.60652591,640.6641275,6229335.526,0.000178637,96.13172107,629,54,113,536,17,521,920,6044,5,TRUE
739,1234,4146.55869,704.0741521,40802,368356.6205,40802,657.9,559.8975839,242341820.6,0.000351746,3739.842911,6225,50,786,5723,17,505,1715,39087,46,TRUE
260,449,1773.258059,189.9741468,19639,186645.6337,19639,209.5867419,890.5412241,39118450.25,0.000205802,603.6797878,1859,152,395,1494,17,709,2157,17482,44,FALSE
2439,4094,15711.65059,1816.897664,92043,925393.4999,92043,689.0607075,1342.978187,637652299.7,0.000266855,9840.313267,7246,327,1493,5985,17,1046,7248,84795,23,TRUE
1080,2084,9006.786328,672.0937571,34449,335234.2093,34449,323.1530612,1037.385219,108331961,0.000225962,1671.789521,2972,44,587,2489,17,833,2780,31669,47,TRUE
347,613,3194.678481,113.1017675,24406,239200.763,24406,219.8731429,1087.903506,52593823.53,0.000195617,811.6330791,1569,163,178,1409,17,875,1772,22634,8,FALSE
697,1153,4869.872911,417.4247317,39122,395974.6343,39122,285.1722881,1388.545279,112920992.5,0.000196665,1742.607908,2210,201,362,1901,17,1097,2318,36804,22,TRUE
376,654,2958.078537,205.6411113,18445,169185.4254,18445,254.7723214,664.0651718,43103763.58,0.00024221,665.1815367,1479,19,171,1329,17,560,1660,16785,4,TRUE
809,1503,7907.848019,272.4164791,34351,348435.3568,34351,245.7675045,1417.743804,85634088.11,0.000185861,1321.513705,2616,118,325,2335,17,1114,2141,32210,44,TRUE
193,344,1075.249473,221.7042305,6291,56033.24874,6291,99.52159827,563.0260135,5576518.471,0.000187072,86.05738381,605,27,126,512,17,463,870,5421,1,FALSE
971,1615,7249.683644,605.5431312,72052,740331.4519,72052,473.0716039,1564.945868,350229787.4,0.000223711,5404.78067,3634,164,583,3137,17,1222,4041,68011,77,FALSE
13,17,66.60791493,7.310271567,390,2943.288839,390,19,154.9099389,55922.48795,0.000165616,0.863001357,273,2,7,267,17,170,10,380,0,TRUE
1100,13091,69038.81411,1277.38465,650851,7904777.614,650851,1166.360846,6777.300214,9219823109,0.000185412,142281.2208,3309,308,607,2740,17,4513,31582,619269,2373,TRUE
129,254,943.5803302,124.4916399,3583,31404.53491,3583,56.42942584,556.5276351,1772139.874,0.000155436,27.34783756,398,56,76,342,17,418,808,2775,3,FALSE
528,987,4207.475644,315.5871571,23507,236560.2282,23507,167.7397911,1410.280928,39680563.25,0.000163929,612.3543711,1473,283,240,1277,17,1053,2727,20780,5,TRUE
138,270,1073.952481,109.2120125,5106,46574.55014,5106,68.11018519,683.8118266,3172201.235,0.000154515,48.95372276,449,62,73,389,17,540,779,4327,2,FALSE
105,218,842.7542677,94.74249408,5254,47271.18099,5254,77.44635628,610.3732088,3660980.725,0.0001675,56.49661612,357,65,57,311,17,494,753,4501,4,FALSE
333,588,2271.975492,260.2009281,9945,92111.53324,9945,124.2110553,741.5727451,11441270.75,0.000183744,176.5628202,998,58,199,842,17,597,1221,8724,8,TRUE
511,1035,6893.585113,57.86760744,41045,409751.9713,41045,322.1457286,1271.946001,131999847.3,0.000210898,2037.034681,2267,68,311,1965,17,995,3335,37710,151,TRUE
102,220,1002.989202,53.1387608,8151,69790.838,8151,180.265928,387.1549038,12580910.18,0.000258358,194.1498484,464,22,79,387,17,361,495,7656,18,FALSE
537,1284,11407.54035,15.2356566,49189,496257.4047,49189,371.9622201,1334.160777,184589006,0.000217759,2848.595772,2166,109,251,1919,17,1072,2278,46911,79,FALSE
237,8311,1663.358832,7541.664312,390227,4587725.704,390227,921.1526285,4980.418621,4225995591,0.000189919,65215.98135,820,74,141,700,17,3443,17106,373121,1485,FALSE
169,248,1060.627424,92.60187387,5769,52348.7221,5769,81.74329502,640.4038654,4279157.034,0.000167833,66.03637399,845,99,93,757,17,522,749,5020,17,TRUE
456,789,3070.642075,340.7983085,12722,118622.2249,12722,152.3733974,778.4969484,18074871.42,0.000193536,278.933201,1405,88,297,1157,17,624,1536,11186,12,FALSE
102,196,761.0477382,86.10564344,3645,31788.40654,3645,61.4308642,517.4663739,1952789.285,0.000163825,30.13563712,309,55,55,266,17,405,718,2927,2,TRUE
272,521,1916.495755,252.7618924,7972,75028.5656,7972,89.97966867,833.8390961,6751045.474,0.000158696,104.1828005,715,63,147,623,17,664,943,7029,9,FALSE
43259,92879,1381882.04,120.5981035,5850146,83042300.15,5850146,2552.543604,32533.15635,2.12E+11,0.000142701,3271127.964,128467,2348,1991,126164,17,18737,223439,5626707,6096,FALSE
629,9232,39951.88652,3040.716044,366740,4261935.458,366740,935.7840728,4554.40051,3988251321,0.000196695,61547.08829,2117,198,312,1802,17,3133,21821,344919,1953,TRUE
137,211,770.7917125,103.7797165,7817,70418.88654,7817,124.9226908,563.6997259,8796916.787,0.000201717,135.7548887,902,49,115,801,17,498,498,7319,8,TRUE
78,151,595.3753742,67.65749194,2111,17257.26812,2111,59.59375,289.5818457,1028425.322,0.000196799,15.87076114,301,21,67,253,17,272,204,1907,6,TRUE
964,1778,10534.98269,185.2017489,68352,695134.7137,68352,478.845815,1451.68798,332862348.5,0.000230314,5136.764637,3640,238,156,3517,17,1135,4412,63940,67,FALSE
3583,5866,59020.13875,52.44229579,327560,3970635.559,327560,600.9442568,6607.327576,2386130635,0.000149905,36823.00363,10893,1308,584,10316,17,4440,13655,313905,8,FALSE
2145,3532,15315.2185,1188.272317,129510,1403274.642,129510,582.4472376,2409.273409,817333438.5,0.000207652,12613.17035,7083,135,1138,6114,17,1810,5483,124027,47,TRUE
1109,2283,15740.27569,187.9897925,70353,737992.2736,70353,399.0334272,1849.449754,294483586.1,0.000199925,4544.499786,3547,216,423,3151,17,1421,3644,66709,84,TRUE
535,913,4273.048171,212.4601426,31835,304595.8817,31835,354.5714286,859.053655,108000996.9,0.000248184,1666.682051,1556,28,252,1334,17,742,883,30952,35,FALSE
799,1436,6150.536773,487.0885352,65086,653214.3957,65086,497.5585673,1312.839209,325012418.9,0.000241225,5015.623748,3233,223,470,2824,17,1033,4618,60468,42,TRUE
442,822,2844.629211,448.6767064,20650,191743.5558,20650,257.1144975,745.7516307,49300048.01,0.000233735,760.80321,1408,114,248,1216,17,607,2289,18361,10,TRUE
39,103,540.5365339,9.260811643,2960,26265.39457,2960,53.74557522,488.6987341,1411648.74,0.000159703,21.78470277,203,9,9,195,17,452,102,2858,0,TRUE
1675,2916,12738.84351,926.5033257,143462,1598102.316,143462,517.9988834,3085.146257,827815215.4,0.000183892,12774.92616,6972,718,1061,6058,17,2239,7015,136447,71,TRUE
1537,3643,32681.87485,483.6912732,155872,1712828.259,155872,631.5436725,2712.129555,1081725849,0.000205074,16693.30014,5238,106,895,4352,17,2015,6159,149713,610,TRUE
777,1316,5129.717999,601.1282585,43626,455809.5219,43626,254.6242754,1790.125947,116060169.2,0.000174001,1791.051994,2433,146,374,2117,17,1380,2287,41339,60,FALSE
9350,26040,316653.3785,83.04347975,1561081,20186216.8,1561081,1641.007251,12301.11371,33125728137,0.000170321,511199.5083,33364,135,2836,30523,17,7792,56760,1504321,2724,TRUE
214,375,1488.796387,153.3833899,5362,47726.44782,5362,82.7505423,576.7508768,3949389.439,0.000174504,60.94736789,644,48,105,561,17,461,874,4488,2,FALSE
31,49,137.4908056,37.28569578,2319,18405.06338,2319,66.84429825,275.3423084,1230273.546,0.000207942,18.98570287,226,32,48,178,17,228,526,1793,1,FALSE
9071,27918,252153.6343,3529.334837,1611833,20985686,1611833,1587.238598,13221.50685,33309290820,0.000164437,514032.2657,32355,379,3392,28973,17,8288,64182,1547651,4684,TRUE
250,409,1626.258995,197.2959617,12225,113738.7196,12225,143.3943089,793.1885197,16309485.1,0.000188479,251.6895849,1488,83,154,1369,17,615,1850,10375,1,TRUE
98,145,555.7030569,65.84738302,1386,10983.79013,1386,45.0199115,243.976271,494489.2596,0.000189772,7.631007093,301,10,58,254,17,226,189,1197,9,FALSE
236,410,1443.984351,221.5673416,10538,97970.90299,10538,130.8611111,748.6632366,12820581.22,0.000186375,197.8484756,758,71,155,638,17,612,1116,9422,27,TRUE
280,506,1899.867229,234.1080924,7762,73150.37873,7762,85.52014925,855.3584082,6255831.307,0.00015471,96.54060659,830,59,155,704,17,670,1021,6741,3,TRUE
80,149,809.3679851,21.23244391,4037,32879.98533,4037,117.2744361,280.3678826,3855981.738,0.000249289,59.50589102,459,53,80,379,17,266,367,3670,1,FALSE
53,100,430.8831796,29.3751449,1450,10083.58465,1450,97.47196262,103.4511297,982866.7861,0.000326784,15.16769732,190,13,17,175,17,107,223,1227,6,TRUE
656,1113,5078.190472,369.5510057,39053,390254.2208,39053,313.0663673,1246.554283,122175471.2,0.000210307,1885.423939,2259,70,379,1949,17,1002,2148,36905,69,TRUE
240,390,1323.438347,223.7682422,11339,104062.7601,11339,159.4128114,652.7879361,16588937.15,0.000208351,256.0021166,902,21,114,812,17,562,799,10540,9,TRUE
297,548,2694.511639,121.3274445,15662,149462.9644,15662,167.9828532,889.7513139,25107215.21,0.000191225,387.4570248,1043,78,170,890,17,729,1255,14407,37,TRUE
17,28,69.00723059,23.40690258,252,1670.597868,252,21.14634146,79.00174464,35327.03297,0.000214822,0.545170262,75,0,12,68,17,82,48,204,1,TRUE
415,678,2750.535169,268.0026557,19847,185631.905,19847,245.2189953,757.0045902,45520469.25,0.000228927,702.4763773,1460,55,209,1291,17,637,1470,18377,13,TRUE
91,184,587.4201883,112.2703779,3289,28393.9212,3289,60.75263158,467.3694039,1725005.434,0.000168855,26.62045423,346,23,51,310,17,380,573,2716,1,FALSE
815,1730,8647.740835,382.4460504,70591,747003.9846,70591,375.7493404,1988.038047,280686254.5,0.000191295,4331.578001,3854,347,807,3106,17,1516,3575,67016,81,TRUE
1637,3527,30069.57017,416.0510706,151594,1672391.94,151594,598.2739528,2795.361443,1000548537,0.000199388,15440.56384,6223,149,1098,5153,17,2077,5404,146190,570,TRUE
134,249,848.2724743,141.6598538,5876,51579.98121,5876,95.13151659,542.1965618,4906881.838,0.00018661,75.72348516,350,69,64,312,17,422,1153,4723,1,FALSE
3767,8908,74034.84927,653.5049601,453434,5540174.731,453434,779.2913858,7109.246723,4317410444,0.000159528,66626.70438,13804,1704,971,12874,17,4748,18131,435303,336,TRUE
